region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
IARE101001,59,297,356,82,502,584,6,17,23,11,21,32,99,540,639,15,45,60,173,882,1055
IARE101002,632,2863,3495,992,7961,8953,52,415,467,118,517,635,1162,8893,10055,98,437,535,1892,12193,14085
IARE101003,108,481,589,77,765,842,6,62,68,14,32,46,97,859,956,9,68,77,214,1408,1622
IARE101004,189,634,823,227,1145,1372,17,73,90,34,62,96,278,1280,1558,31,72,103,498,1986,2484
IARE101005,178,1513,1691,261,2751,3012,15,187,202,30,162,192,306,3100,3406,26,174,200,510,4787,5297
IARE101006,82,333,415,48,509,557,0,24,24,11,21,32,59,554,613,12,49,61,153,936,1089
IARE101007,117,952,1069,123,1593,1716,14,108,122,19,92,111,156,1793,1949,23,107,130,296,2852,3148
IARE101008,253,933,1186,239,1439,1678,16,91,107,32,71,103,287,1601,1888,19,102,121,559,2636,3195
IARE102001,179,1692,1871,257,5447,5704,30,320,350,53,362,415,340,6129,6469,38,271,309,557,8092,8649
IARE102002,78,1134,1212,96,1762,1858,3,129,132,16,111,127,115,2002,2117,9,128,137,202,3264,3466
IARE102003,203,1249,1452,250,2273,2523,17,118,135,32,155,187,299,2546,2845,31,160,191,533,3955,4488
IARE102004,61,550,611,50,857,907,3,62,65,10,50,60,63,969,1032,13,69,82,137,1588,1725
IARE102005,188,2636,2824,208,4145,4353,13,271,284,33,240,273,254,4656,4910,34,303,337,476,7595,8071
IARE102006,147,854,1001,139,1489,1628,7,89,96,28,75,103,174,1653,1827,22,99,121,343,2606,2949
IARE102007,344,614,958,184,1290,1474,6,54,60,40,103,143,230,1447,1677,51,93,144,625,2154,2779
IARE102008,136,415,551,97,1018,1115,0,56,56,20,84,104,117,1158,1275,13,67,80,266,1640,1906
IARE102009,96,1215,1311,212,3354,3566,4,175,179,29,213,242,245,3742,3987,15,219,234,356,5176,5532
IARE102010,228,1292,1520,230,2442,2672,10,130,140,41,178,219,281,2750,3031,36,196,232,545,4238,4783
IARE102011,669,5226,5895,954,11835,12789,71,646,717,129,652,781,1154,13133,14287,94,790,884,1917,19149,21066
IARE102012,98,853,951,60,1400,1460,7,107,114,3,66,69,70,1573,1643,7,84,91,175,2510,2685
IARE102013,54,1436,1490,151,3038,3189,8,168,176,9,177,186,168,3383,3551,7,195,202,229,5014,5243
IARE102014,85,841,926,117,1934,2051,11,102,113,17,90,107,145,2126,2271,13,97,110,243,3064,3307
IARE103001,140,179,319,107,371,478,6,15,21,16,33,49,129,419,548,30,42,72,299,640,939
IARE103002,197,72,269,90,149,239,4,7,11,13,13,26,107,169,276,17,10,27,321,251,572
IARE103003,98,418,516,127,905,1032,7,39,46,17,57,74,151,1001,1152,9,50,59,258,1469,1727
IARE103004,220,396,616,160,580,740,3,44,47,25,31,56,188,655,843,20,46,66,428,1097,1525
IARE103005,332,2527,2859,316,4199,4515,19,250,269,52,267,319,387,4716,5103,69,397,466,788,7640,8428
IARE103006,348,670,1018,180,963,1143,12,56,68,25,94,119,217,1113,1330,45,111,156,610,1894,2504
IARE104001,146,3429,3575,309,10102,10411,7,513,520,32,508,540,348,11123,11471,38,484,522,532,15036,15568
IARE104002,55,1859,1914,187,7858,8045,9,381,390,10,443,453,206,8682,8888,12,392,404,273,10933,11206
IARE104003,229,4667,4896,653,10751,11404,38,570,608,54,593,647,745,11914,12659,50,689,739,1024,17270,18294
IARE104004,415,5119,5534,534,11061,11595,35,772,807,77,533,610,646,12366,13012,64,646,710,1125,18131,19256
IARE104005,593,8895,9488,1036,24120,25156,52,1292,1344,104,1159,1263,1192,26571,27763,85,1363,1448,1870,36829,38699
IARE104006,69,1381,1450,138,3016,3154,0,179,179,15,140,155,153,3335,3488,16,157,173,238,4873,5111
IARE104007,340,12611,12951,1183,40862,42045,51,1923,1974,103,2057,2160,1337,44842,46179,64,2101,2165,1741,59554,61295
IARE104008,213,4216,4429,334,8022,8356,17,472,489,36,421,457,387,8915,9302,32,513,545,632,13644,14276
IARE104009,473,3043,3516,411,5505,5916,28,399,427,78,302,380,517,6206,6723,52,342,394,1042,9591,10633
IARE104010,80,1039,1119,81,1958,2039,9,162,171,15,98,113,105,2218,2323,8,120,128,193,3377,3570
IARE104011,609,15442,16051,1602,46256,47858,80,2086,2166,152,1916,2068,1834,50258,52092,120,2325,2445,2563,68025,70588
IARE104012,228,3624,3852,434,10326,10760,26,582,608,61,524,585,521,11432,11953,43,522,565,792,15578,16370
IARE104013,241,4895,5136,679,15918,16597,27,690,717,59,731,790,765,17339,18104,50,756,806,1056,22990,24046
IARE104014,476,13195,13671,1236,37506,38742,56,1415,1471,126,2131,2257,1418,41052,42470,111,2158,2269,2005,56405,58410
IARE104015,310,7197,7507,680,17933,18613,30,1007,1037,57,819,876,767,19759,20526,43,992,1035,1120,27948,29068
IARE104016,233,5129,5362,621,15542,16163,28,797,825,73,731,804,722,17070,17792,57,809,866,1012,23008,24020
IARE104017,217,2630,2847,238,4457,4695,20,301,321,35,262,297,293,5020,5313,38,288,326,548,7938,8486
IARE104018,67,1477,1544,239,5177,5416,17,232,249,29,283,312,285,5692,5977,19,210,229,371,7379,7750
IARE104019,338,5008,5346,540,10385,10925,32,616,648,47,503,550,619,11504,12123,52,619,671,1009,17131,18140
IARE104020,318,8081,8399,844,20559,21403,41,1260,1301,67,1135,1202,952,22954,23906,88,1267,1355,1358,32302,33660
IARE104021,563,13381,13944,1636,34488,36124,62,1588,1650,159,1788,1947,1857,37864,39721,114,2130,2244,2534,53375,55909
IARE105001,159,4336,4495,241,11910,12151,15,542,557,45,765,810,301,13217,13518,41,686,727,501,18239,18740
